id,coords
109,46.544996:24.566996 46.545018:24.567011 46.545200:24.567126 46.545267:24.567137 46.545681:24.567115
110,46.545681:24.567115 46.545971:24.567214 46.545983:24.567218 46.546048:24.567240
111,46.545800:24.566001 46.545824:24.565973 46.546016:24.565745 46.546027:24.565732 46.546115:24.565654
112,46.543910:24.564025 46.544008:24.564032 46.544083:24.564066 46.544167:24.564158 46.544587:24.564629 46.544987:24.565171 46.545682:24.565983 46.545719:24.566001 46.545768:24.565998
113,46.545768:24.565998 46.545782:24.565997 46.545800:24.566001
114,46.545800:24.566001 46.545978:24.566089 46.546025:24.566118 46.546044:24.566129
115,46.543003:24.564771 46.542909:24.564878 46.542786:24.564965
116,46.542786:24.564965 46.542701:24.565002 46.542625:24.565037
117,46.542625:24.565037 46.542557:24.565117 46.542344:24.565367 46.542162:24.565544
118,46.542162:24.565544 46.541943:24.565758 46.541643:24.566027 46.541426:24.566163 46.541256:24.566259
119,46.542920:24.566639 46.542753:24.566817 46.542546:24.566998 46.542315:24.567146
120,46.542315:24.567146 46.541787:24.567384 46.541772:24.567390 46.541764:24.567394
121,46.542920:24.566639 46.542892:24.566593 46.542883:24.566580 46.542686:24.566258
122,46.543033:24.567745 46.543012:24.567728 46.542366:24.567188 46.542345:24.567171 46.542315:24.567146
123,46.542920:24.566639 46.542931:24.566653 46.543237:24.567048 46.543263:24.567084
124,46.548338:24.565419 46.548305:24.566717
125,46.548305:24.566717 46.548299:24.566940
126,46.548299:24.566940 46.548288:24.567417 46.548282:24.567651
127,46.548282:24.567651 46.548260:24.568549
128,46.548260:24.568549 46.548244:24.569400
129,46.548244:24.569400 46.548227:24.570315
130,46.548227:24.570315 46.548217:24.570644
131,46.548217:24.570644 46.548193:24.571313
132,46.548193:24.571313 46.548054:24.571959
133,46.548313:24.572376 46.548312:24.572309 46.548350:24.571300
134,46.548350:24.571300 46.548351:24.571237
135,46.548351:24.571237 46.548363:24.570655
136,46.548363:24.570655 46.548370:24.570326
137,46.548370:24.570326 46.548392:24.569409
138,46.548392:24.569409 46.548413:24.568542
139,46.548413:24.568542 46.548438:24.567668
140,46.548438:24.567668 46.548445:24.567430 46.548459:24.566954
141,46.548459:24.566954 46.548465:24.566731
142,46.548465:24.566731 46.548499:24.565542 46.548500:24.565502
143,46.554373:24.572976 46.554296:24.572937 46.554280:24.572926
144,46.554280:24.572926 46.554259:24.572910 46.554120:24.572811 46.554032:24.572748 46.553972:24.572705 46.553942:24.572685
145,46.553942:24.572685 46.553642:24.572567
146,46.553642:24.572567 46.553498:24.572510
147,46.553498:24.572510 46.553292:24.572438
148,46.553292:24.572438 46.552800:24.572250 46.552770:24.572238
149,46.552770:24.572238 46.552719:24.572210 46.552703:24.572200
150,46.552703:24.572200 46.552693:24.572195 46.552442:24.572054 46.552363:24.572010 46.552261:24.571952 46.552126:24.571877
151,46.552126:24.571877 46.552009:24.571811 46.551726:24.571653 46.551645:24.571607 46.551384:24.571461 46.551329:24.571430 46.551318:24.571424
152,46.551318:24.571424 46.551101:24.571303 46.551069:24.571285
153,46.551069:24.571285 46.550272:24.570854 46.550055:24.570788 46.549855:24.570760 46.549649:24.570748
154,46.549649:24.570748 46.549512:24.570738 46.548391:24.570657 46.548375:24.570656 46.548363:24.570655
155,46.550452:24.568369 46.550430:24.568361 46.550146:24.568260 46.549953:24.568192 46.549829:24.568135 46.549678:24.567994 46.549448:24.567751 46.549393:24.567691
156,46.548500:24.565502 46.548418:24.565463 46.548338:24.565419
157,46.550692:24.573740 46.550713:24.573664 46.550826:24.573245 46.551064:24.572364
158,46.551064:24.572364 46.551112:24.572185
159,46.551112:24.572185 46.551298:24.571500 46.551318:24.571424
160,46.551971:24.568939 46.551946:24.568983 46.551936:24.568998 46.551903:24.569053 46.551659:24.569289 46.551075:24.569959 46.551056:24.569970
161,46.551056:24.569970 46.550360:24.570364 46.550353:24.570368
162,46.537801:24.561353 46.537581:24.561950 46.537451:24.562276 46.537235:24.562730 46.537189:24.562827
163,46.539032:24.560205 46.539041:24.560153 46.539105:24.559783
164,46.538765:24.558927 46.538744:24.558915
165,46.538744:24.558915 46.538634:24.558860
166,46.536603:24.562556 46.536734:24.562628
167,46.535295:24.565648 46.535388:24.565660 46.535660:24.565694
168,46.535660:24.565694 46.535699:24.565700
169,46.535867:24.565724 46.536522:24.565822 46.536560:24.565828 46.536593:24.565832 46.536657:24.565839
170,46.536657:24.565839 46.537593:24.565965
171,46.537593:24.565965 46.537607:24.565966 46.537610:24.565967 46.537943:24.566010
172,46.537943:24.566010 46.538151:24.566036
