id,osm_id,lat,lon
150,248495753,46.5417641,24.5673945
151,248495755,46.5423153,24.5671463
152,248495756,46.5429202,24.5666390
153,248495757,46.5434403,24.5657046
154,248495758,46.5426857,24.5662585
155,248495763,46.5483376,24.5654187
156,248495764,46.5485000,24.5655022
157,248495765,46.5484133,24.5685422
158,248495766,46.5483634,24.5706551
159,248495767,46.5483125,24.5723758
160,248495769,46.5482604,24.5685488
161,248495770,46.5482174,24.5706438
162,248495771,46.5480078,24.5722128
163,248495772,46.5496906,24.5665401
164,248495773,46.5496491,24.5707476
165,248495775,46.5513184,24.5714242
166,248495776,46.5527698,24.5722380
167,248495778,46.5519951,24.5744784
168,248495780,46.5506924,24.5737399
169,248495784,46.5503535,24.5703679
170,248495786,46.5501525,24.5696923
171,248583976,46.5366567,24.5658386
172,248583979,46.5390672,24.5591489
173,248583985,46.5366028,24.5625565
174,248583994,46.5358671,24.5657241
175,248583995,46.5356597,24.5656938
176,248584000,46.5360447,24.5645679
177,248584001,46.5368542,24.5647021
178,248584005,46.5365107,24.5717384
179,248584007,46.5367082,24.5716869
180,248584011,46.5367983,24.5676140
181,248584012,46.5361799,24.5687878
182,248584013,46.5369988,24.5684829
183,248584014,46.5363481,24.5696662
184,248584016,46.5371995,24.5693428
185,248584017,46.5364727,24.5703721
186,248584020,46.5373011,24.5741679
187,248584022,46.5371252,24.5742602
188,248584023,46.5369040,24.5733414
189,248584024,46.5357228,24.5739447
190,248584032,46.5381925,24.5768390
191,248584033,46.5351579,24.5784810
192,248584036,46.5385022,24.5789016
193,248584070,46.5386038,24.5816549
194,248584079,46.5379603,24.5843988
195,248584090,46.5364141,24.5888228
196,248584100,46.5361582,24.5885779
197,248584109,46.5339378,24.5903589
198,248584110,46.5343376,24.5900920
199,248743299,46.5483704,24.5703264
200,248743304,46.5504750,24.5683731
201,248743306,46.5515815,24.5753443
202,248743307,46.5511120,24.5721847
203,248743308,46.5524919,24.5730793
204,248743311,46.5536816,24.5696025
205,248743325,46.5528164,24.5733255
206,248743326,46.5521020,24.5741964
207,248743327,46.5531435,24.5749908
208,248743328,46.5354709,24.5879172
209,248743329,46.5365075,24.5855573
210,248743330,46.5367414,24.5891395
211,248743331,46.5352038,24.5921312
212,248743332,46.5380182,24.5866100
213,248743343,46.5341466,24.5909178
214,248743344,46.5393851,24.5584259
215,248743346,46.5397745,24.5590136
216,248743349,46.5413492,24.5575407
217,248743350,46.5400199,24.5582239
