id,osm_id,lat,lon
69,673350,44.7497163,27.4493299
70,673354,44.7803720,27.4839812
71,673358,44.7896530,27.5031717
72,673359,44.7946082,27.5110503
73,673363,44.7952836,27.5115345
74,673369,44.8023263,27.5131035
75,673378,44.8203774,27.5236626
76,673395,44.9060248,27.5918624
77,673398,44.9175552,27.6114006
78,673410,44.9899795,27.7053829
79,673415,45.0040125,27.7171106
80,673419,45.0074231,27.7185416
81,673433,45.0847006,27.8104835
82,673445,45.1646836,27.8687217
83,673452,45.1877892,27.8933649
84,673457,45.2160588,27.9227146
85,681362,45.2863667,27.9709188
86,681368,45.2793707,27.9723894
87,681374,45.2719747,27.9740909
88,681425,45.2718767,27.9750457
89,682436,44.4290917,26.1000045
90,682438,44.4285907,26.1011431
91,14460671,44.4412735,26.1340872
92,14460693,44.4481270,26.2056932
93,14460695,44.4478976,26.2075028
94,14485274,44.4259378,26.1191406
95,14485325,44.4129539,26.0731757
96,14877843,44.4653757,26.0863617
97,14995030,44.4530628,26.1049249
98,16576504,45.7573757,21.2173330
99,21448880,44.4315526,26.1037770
100,21448883,44.4354425,26.1027323
101,21467059,44.4137522,26.1042819
102,21562713,44.4388454,26.1203416
103,21644070,45.9285752,26.6261621
104,21644129,45.9187220,26.6628290
105,21644162,45.9095869,26.6634018
106,21644170,45.9114643,26.6664063
107,21644190,45.9222090,26.6754406
108,21644200,45.9209512,26.6903998
109,21644212,45.9223144,26.7000593
110,21644213,45.9224368,26.7002824
111,21644216,45.9223311,26.7017783
112,21644220,45.9219507,26.7051914
113,21644229,45.9249663,26.7118092
114,21644230,45.9245174,26.7131713
115,21644264,45.9115754,26.7392212
116,21644280,45.9086019,26.7455422
117,21644281,45.9085639,26.7467508
118,21644288,45.9055127,26.7496558
119,21644291,45.9043651,26.7513782
120,21644323,45.8932954,26.7674297
121,21644419,45.8786563,26.7957842
122,21644424,45.8777306,26.7982644
123,21644448,45.8886252,26.8119954
124,21644449,45.8888710,26.8120503
125,21644469,45.8884905,26.8172812
126,21644475,45.8892572,26.8224434
127,21644487,45.8899471,26.8292395
128,21644495,45.8907732,26.8368981
129,21644520,45.8903390,26.8442269
130,21644533,45.8977783,26.8512447
131,21644541,45.8968015,26.8564811
