id,u,v,length_m,speed_kph,oneway,name
204,1264,1265,44.09,50,1,
205,1268,1267,42.82,40,1,
206,1267,1269,34.91,40,1,
207,1164,1271,37.63,50,1,
208,1272,1164,39.03,50,1,
209,1163,1273,50.96,50,1,
210,1274,1163,51.29,50,1,
211,52035,21285,60.37,50,1,Șoseaua Giurgiului
212,54264,28457,182.17,60,1,Calea Văcărești
213,36891,1794,33.90,70,1,
214,24312,14665,34.74,50,1,Șoseaua Giurgiului
215,1301,1487,29.35,40,1,Podul Mihai Bravu
216,20568,36662,369.69,50,1,Șoseaua Olteniței
217,23530,1287,39.45,50,1,
218,1303,19070,174.40,60,1,Șoseaua Giurgiului
219,1307,1308,72.96,50,1,Bulevardul Tineretului
220,4073,21694,69.83,60,1,Șoseaua Mihai Bravu
221,1184,46877,131.03,40,1,Strada Combinatului
222,46877,25244,211.52,50,0,Strada Combinatului
223,46877,1185,125.58,40,1,Strada Combinatului
224,1313,1318,133.15,40,0,Strada Combinatului
225,1315,1316,66.39,40,1,
226,1316,1317,59.20,40,1,
227,25447,2836,781.11,60,1,Șoseaua Viilor
228,2837,3996,15.99,50,1,Șoseaua Viilor
229,1321,1268,32.61,40,1,
230,1360,32369,31.68,50,1,Strada 22 Decembrie
231,9374,31039,403.99,90,0,
232,46894,14698,371.63,50,0,Strada 1 Decembrie 1918
233,25600,10344,86.77,50,0,Strada Gheorghe Petrașcu
234,38169,1405,53.75,30,1,
235,1405,1425,52.31,30,1,
236,38171,1404,54.11,30,1,
237,1414,1426,55.11,30,1,
238,1415,1414,19.15,60,0,
239,1413,1414,55.06,30,1,
240,1404,38170,53.20,30,1,
241,1427,1428,118.62,40,1,
242,10978,10977,66.60,30,1,
243,10980,17636,599.28,40,1,
244,1474,1473,74.07,50,1,
245,1223,1900,119.86,50,0,Calea Prutului
246,1480,1481,357.12,50,0,Calea Prutului
247,1481,1482,122.05,50,0,Calea Prutului
248,1484,1485,104.40,50,0,Calea Prutului
249,1485,35366,769.85,50,0,Calea Prutului
250,42999,43001,64.28,50,1,Strada Brăilei
251,1487,1610,11.69,40,1,Podul Mihai Bravu
252,1387,1388,80.47,70,0,
253,1290,1291,337.23,80,1,
254,40232,11486,103.20,80,0,
255,1390,28790,425.41,90,0,
256,1412,23037,395.34,60,0,
257,9832,10940,49.97,50,0,Strada Vasile Pârvan
258,1494,38779,28.53,50,1,Bulevardul Libertății
259,38779,7852,167.91,50,1,Bulevardul Libertății
260,15337,24964,19.12,30,1,Piața Regina Maria
261,16086,1500,307.67,50,0,Calea Prutului
262,1499,1778,2769.57,90,0,Galați-Giurgiulești
263,1501,4067,64.89,50,1,Piața New Delhi
264,4068,1501,62.73,50,1,Piața New Delhi
265,25253,1504,99.32,40,1,Strada Tunelului
266,33358,40185,42.94,50,1,Strada Traian
267,1231,1268,28.11,60,0,Bulevardul George Coșbuc
268,1219,1262,42.24,50,1,Strada Brăilei
269,1262,45173,359.73,50,1,Strada Brăilei
270,1215,25252,44.44,50,1,Strada Brăilei
271,1213,40871,37.52,40,1,Bulevardul Brăilei
272,194,39032,59.49,50,1,Bulevardul Regina Elisabeta
273,192,23886,64.74,50,1,Bulevardul Carol I
274,3129,20952,277.71,50,1,Centura Alba Iulia
275,20952,3128,112.21,50,1,Centura Alba Iulia
276,27916,27917,2130.45,50,0,
277,11747,11748,105.74,50,1,Șoseaua București-Ploiești
278,12609,10971,60.16,30,1,
279,1616,33803,524.09,70,0,
280,43511,30001,701.23,50,0,
281,1638,34430,214.85,50,0,Strada Fântânelor
282,24314,1666,24.17,30,1,Șoseaua Chitilei
283,799,804,219.37,50,1,Calea Crângași
284,1696,1697,139.39,100,1,Calea București
285,1697,1691,175.82,100,1,Calea București
286,18959,1708,48.71,60,1,Piața Arcul de Triumf
287,15335,4136,65.87,60,1,Piața Arcul de Triumf
288,2009,3428,69.83,60,0,Bulevardul Aviatorilor
289,1281,1716,52.54,50,1,Bulevardul Tudor Vladimirescu
290,2021,20506,41.55,40,1,Strada Traian
291,54733,54732,1499.62,100,0,
292,15658,15673,31.37,50,1,
293,39785,1733,30.05,30,1,
294,16472,19440,566.21,50,1,Calea Romanilor
295,832,38415,13.51,50,1,Piața Academician Caius Iacob
296,33433,47967,1667.88,50,1,Calea Radnei
297,16762,14302,34.54,90,1,Centura Arad Nord
298,54684,37743,489.46,50,0,Calea Galați
299,36307,1761,1935.33,90,0,Strada Praporgescu
300,1765,1749,2069.14,70,0,Calea Moș Anghel
301,1483,1491,329.56,50,0,Strada Lemnari
302,1778,1779,53.80,90,0,Galați-Giurgiulești
303,43120,4827,1147.62,90,0,Galați-Giurgiulești
304,10974,11082,65.59,50,0,Bulevardul Republicii
305,1250,1210,115.91,40,1,Strada Drumul de Centură
306,8297,1502,476.77,50,0,Strada Tunelului
307,1502,1482,2570.37,50,0,Strada Macului
308,1607,23490,21.23,70,0,Strada Victoriei
309,1839,1838,107.63,60,0,Calea București
310,20112,48020,24.14,50,0,Calea Mănăștur
311,30435,1849,35.14,50,0,Piața Mărăști
312,30438,39206,42.26,50,1,Bulevardul 21 Decembrie 1989
313,39206,33390,132.94,50,1,Bulevardul 21 Decembrie 1989
314,4894,27711,188.52,50,1,Strada Memorandumului
315,1852,25452,144.52,50,0,Calea Mănăștur
316,47476,1854,288.40,50,0,Calea Mănăștur
317,1854,8158,128.37,50,0,Calea Florești
318,9676,10677,22.14,50,0,Calea Florești
319,16587,16435,648.26,50,0,Calea Moldovei
320,1895,15076,61.54,10,0,
321,12499,1915,1620.63,100,0,
322,32933,1928,2549.93,100,0,
323,1980,1981,371.90,100,0,
324,2003,13773,1537.19,50,0,
325,19190,19196,84.29,50,1,Șoseaua Mihai Bravu
326,36866,25113,118.52,50,1,Șoseaua Mihai Bravu
327,36720,2621,23.82,30,1,
328,1711,659,60.95,50,1,Bulevardul Constantin Prezan
329,54198,38487,31.28,60,1,Piața Aviatorilor
330,32381,2013,170.73,50,1,
331,2016,2017,79.30,50,1,
332,35381,2018,331.74,50,1,
333,2019,35380,287.40,30,1,
334,6797,2020,62.79,30,1,
335,2026,44190,1243.15,100,0,
336,1120,1121,974.33,100,0,
337,29548,44069,3587.19,100,0,
338,13511,636,1291.88,50,0,
339,13773,19368,1437.97,50,0,
340,2057,49208,753.72,100,1,
341,778,13525,173.69,50,0,
342,32355,13150,291.12,50,0,Șoseaua Buftea
343,3207,29275,1627.67,90,0,
344,40783,2096,1716.89,50,0,
345,2106,46742,3735.69,50,0,Șoseaua București-Târgoviște
346,20557,21368,132.67,60,0,Calea București
347,4855,22614,365.80,50,1,Calea București
348,49857,2122,10.60,50,0,Strada Tunari
349,39027,1553,45.27,30,1,Bulevardul Independenței
350,2133,1473,24.65,50,0,
351,2134,2133,26.00,50,0,
352,1389,2135,242.40,40,0,
353,2135,2134,197.77,50,0,
354,18226,32117,158.04,50,0,Calea Clujului
355,6790,8592,95.32,50,0,Strada Eroilor Revolutiei din 22 Decembrie 1989
356,792,29860,341.39,50,1,Calea Zimandului
357,829,2179,39.81,50,1,Strada Romul Veliciu
358,29977,42840,748.77,50,1,Bulevardul Revoluției
359,8373,23558,6.99,50,0,
360,656,23560,5.63,50,0,
361,16255,4714,54.77,50,1,Bulevardul Nicolae Bălcescu
362,35335,17470,63.91,50,0,Strada 30 Decembrie
363,40267,2196,85.47,50,1,
364,651,652,73.37,50,1,Piața Victoriei
365,2210,35472,62.56,60,0,Bulevardul Mareșal Alexandru Averescu
366,4133,2210,41.00,50,1,Bulevardul Mareșal Alexandru Averescu
367,29155,2213,320.81,50,1,Bulevardul Mareșal Alexandru Averescu
368,1666,2215,21.15,30,1,Șoseaua Chitilei
369,47096,37181,28.43,60,0,Șoseaua Chitilei
370,1415,2356,20.25,60,0,
371,2350,21057,47.12,30,1,Calea Moldovei
372,49834,31518,152.89,90,0,
373,2221,38012,42.09,30,1,Strada Haiducului
374,25904,25903,121.40,50,0,
375,54317,51063,73.73,30,1,
376,29076,45245,92.37,30,1,
377,16440,17295,231.46,50,1,Calea Iuliu Maniu
378,17296,827,221.33,50,1,Calea Iuliu Maniu
379,827,19091,253.84,50,1,Calea Iuliu Maniu
380,23676,59,385.96,50,0,Șoseaua Ciulniței
381,1538,36585,478.46,50,0,Bulevardul București
382,2300,1538,82.74,50,0,
383,13310,13328,96.38,100,1,
384,13309,20904,208.60,100,1,
385,2319,13560,48.52,130,1,Autostrada Soarelui
386,46733,7670,15.06,30,1,Bulevardul Brăilei
387,2340,51751,202.90,50,0,Bulevardul București
388,163,50860,386.94,50,0,Strada Mărășești
389,163,2344,82.26,50,1,Strada Mărășești
390,9466,2334,117.61,50,1,Strada Cuza Vodă
391,15086,2349,37.88,30,0,
392,2349,15088,29.19,30,0,
393,15088,2347,23.06,30,0,
394,2347,15087,26.05,30,0,
395,15087,2348,8.80,30,0,
396,2348,21058,31.46,30,0,
397,21058,15086,8.96,30,0,
398,2346,15088,81.20,30,1,
399,2349,2346,78.18,30,1,
400,2351,2350,12.41,90,1,Calea Moldovei
401,2348,15089,13.73,30,1,Calea Moldovei
402,15089,36496,45.24,30,1,Calea Moldovei
403,2347,36499,89.81,30,1,Strada Cuza Vodă
404,2356,2359,94.63,60,1,
405,2357,2356,94.72,60,1,
406,2359,2358,192.12,60,1,
407,2360,2357,192.97,60,1,
408,2358,49834,46.68,60,1,
409,49834,2360,46.13,60,1,
410,1878,31769,81.42,60,0,
411,30540,41376,187.99,50,0,Calea Republicii
412,1878,2363,330.10,60,1,
413,2381,2382,23.80,50,0,Șoseaua de Centură
414,2382,24941,15.61,50,0,Șoseaua de Centură
415,2398,2402,188.29,50,0,
416,28453,49602,42.79,50,1,Șoseaua București Urziceni
417,49602,49725,1235.91,50,1,Șoseaua București Urziceni
418,11287,14182,317.59,50,0,Strada Mihail Kogălniceanu
419,2427,2426,16.38,40,1,Podul Mărăcineni
420,2476,47716,251.64,100,1,
421,2401,23651,168.17,50,0,
422,2423,46652,66.29,70,1,
423,35312,2482,323.34,30,1,Bulevardul Industriei
424,2439,31504,207.73,50,0,Șoseaua Spătarului
425,2480,2479,23.20,50,1,Bulevardul 1 Decembrie 1918
426,4521,23915,62.43,50,1,Calea Eroilor
427,46546,4508,329.95,40,1,Podul Mărăcineni
428,2484,43380,68.76,30,1,
429,2485,2444,201.87,50,0,Șoseaua București Urziceni
430,21068,47860,216.20,50,0,Șoseaua București Urziceni
431,2487,13077,72.50,50,1,
432,2491,2492,72.02,50,0,Centura de Est
433,2492,45888,297.18,90,0,Centura de Est
434,41150,24691,297.14,30,0,Strada Principală
435,11559,33494,682.67,50,0,Strada Glâmboc
436,44384,8554,308.03,50,0,Strada Barajului
437,2633,2634,175.40,90,0,
438,2634,2637,605.18,90,0,
439,2635,2644,281.32,90,0,
440,2636,2635,59.24,90,0,
441,48634,32354,3252.15,90,0,
442,1769,1770,163.80,100,1,Centura de Vest
443,2649,1769,76.32,100,1,Centura de Vest
444,2650,2651,52.66,50,0,
445,25674,2650,166.68,70,1,
446,2651,1767,114.40,40,0,
447,21070,2651,97.92,40,0,
448,2650,21069,126.62,50,1,
449,17155,2653,66.41,40,1,
450,2652,2653,487.90,70,0,
451,2653,25675,163.23,50,1,
452,14811,2654,102.55,100,1,Centura de Vest
453,1768,25674,240.58,100,1,Centura de Vest
454,2655,37024,331.90,50,0,Bulevardul Ferdinand I
455,2716,12588,96.82,40,0,
456,2712,2713,37.37,40,0,
457,2716,2714,43.54,40,1,
458,2713,2716,44.51,40,1,
459,2717,2712,55.41,40,1,
460,2711,2717,58.59,40,1,
461,2717,40446,503.98,100,0,
462,2721,32378,320.94,50,0,Bulevardul Republicii
463,2721,32377,64.28,50,1,Bulevardul Republicii
464,32377,49887,97.37,50,1,Bulevardul Republicii
465,49887,15995,30.27,50,1,
466,54002,26591,94.59,50,1,
467,2725,36834,36.62,30,1,
468,2726,2725,34.60,30,1,
469,15918,2728,288.60,90,1,
470,2727,2726,287.83,90,1,
471,2731,54002,37.21,50,1,
472,2734,2729,27.66,50,1,Strada Alexandru cel Bun
473,2733,2734,31.36,50,1,Strada Alexandru cel Bun
474,39399,43013,752.90,50,0,Strada Calea Romanului
475,39348,17138,496.70,50,0,Calea Romanului
476,2752,24176,66.07,30,1,Bulevardul Unirii
477,2750,2751,27.39,50,0,Bulevardul Unirii
478,37992,33655,108.48,50,0,Strada 9 Mai
479,13098,9102,158.30,50,0,Calea Mărășești
480,28288,28287,19.25,60,1,
481,32872,42051,18.36,50,1,Calea Națională
482,15618,28182,166.06,50,1,Calea Națională
483,28182,33156,97.61,50,1,Calea Națională
484,28084,32869,64.11,50,1,Strada Uzinei
485,28173,11990,51.40,30,1,Strada Sucevei
486,2764,2758,51.50,50,1,
487,35625,30654,35.71,30,1,Strada Sucevei
488,9395,32868,148.11,50,1,Calea Națională
489,2765,2766,27.31,50,1,
490,2781,24408,536.19,40,0,
491,2786,2787,164.87,100,1,Șoseaua București-Ploiești
492,37929,1418,142.93,50,1,Strada Mihai Viteazul
493,1416,1417,205.11,100,1,Strada Mihai Viteazul
494,2196,46928,168.58,50,1,
495,2800,6904,97.82,50,1,
496,6904,2801,16.35,50,1,
497,712,7945,132.47,50,0,Strada Bucovinei
498,42830,1660,437.61,50,1,
499,3457,3412,1969.14,50,0,Șoseaua București-Târgoviște
500,2821,2107,130.17,50,0,
501,8909,38466,995.39,50,1,Calea Aurel Vlaicu
502,36060,53943,81.81,50,1,Calea Aurel Vlaicu
503,2900,23889,244.51,50,0,Bulevardul Eroii Sanitari
504,4617,4245,580.63,60,1,Șoseaua Alexandria
505,2835,18927,697.62,60,1,Șoseaua Viilor
506,825,29956,106.09,30,1,Calea Radnei
507,1748,825,98.33,50,1,Calea Radnei
508,1746,1747,87.49,30,1,Calea Radnei
509,2812,7943,278.76,50,0,Strada Simion Bărnuțiu
510,2865,31,148.79,130,1,Autostrada Soarelui
511,31,12762,2201.02,130,1,Autostrada Soarelui
512,2866,31119,308.18,130,1,Autostrada Soarelui
513,31119,31121,254.54,130,1,Autostrada Soarelui
514,29,2866,148.44,130,1,Autostrada Soarelui
515,2871,2636,2201.32,90,0,
516,2643,2871,44.34,90,0,
517,26826,1120,321.61,100,0,
518,979,980,185.39,50,0,Strada Morii
519,963,964,97.25,100,0,
520,964,29200,325.28,50,0,
521,2894,1734,235.37,50,0,
522,2896,2094,97.45,50,0,
523,2197,55035,329.64,50,0,
524,13329,518,43.95,50,1,Calea Zarandului
525,31402,32282,88.95,50,1,Calea Zarandului
526,23590,32215,294.45,70,1,
527,23589,31814,143.16,100,1,
528,10279,31813,42.83,50,1,
529,2903,30648,317.43,50,0,Strada Avram Iancu
530,30325,30326,448.74,50,0,
531,51017,27971,749.54,50,0,Calea Beiușului
532,2982,2983,61.58,50,0,Bulevardul Băile Felix
533,3004,14802,31.18,30,0,
534,45163,14805,58.96,30,1,Bulevardul Băile Felix
535,14316,14311,765.17,90,0,
536,18177,18175,108.30,50,1,Bulevardul Dacia
537,18152,3022,4.64,30,0,Calea Borșului
538,3022,18151,9.91,30,0,Calea Borșului
539,18151,10486,25.79,30,0,Calea Borșului
540,10486,10485,25.80,30,0,Calea Borșului
541,10485,18152,23.20,30,0,Calea Borșului
542,980,15312,265.34,50,0,Strada Consiliul Europei
543,968,12291,28.27,30,1,
544,968,969,124.52,50,0,
545,3038,968,28.88,50,1,
546,967,966,26.91,50,1,
547,966,3035,24.45,30,1,
548,2126,3037,27.82,30,1,
549,3036,2126,26.19,50,1,
550,3055,3039,5167.47,90,0,
551,27915,3176,251.16,90,0,
552,25424,25425,1652.62,50,0,
553,3058,3070,3973.88,90,0,
554,550,28521,298.17,50,0,Șoseaua Alba Iulia
555,3093,3097,104.01,50,1,Strada Ilie Măcelaru
556,1514,3096,84.52,50,1,Strada Victoriei
557,3096,3095,341.86,50,1,Strada Victoriei
558,39525,17227,172.06,50,0,Strada Augustin Bena
559,42678,3130,1969.45,90,0,Centura Alba Iulia
560,20953,48272,16.97,50,1,Centura Alba Iulia
561,48272,3127,259.24,50,1,Centura Alba Iulia
562,3136,3135,189.73,90,0,
563,3137,3136,132.82,90,0,
564,3139,3144,864.71,50,0,Șoseaua Clujului
565,3140,3138,33.97,50,0,
566,3146,3147,281.31,50,0,Strada Tudor Vladimirescu
567,54112,3145,98.49,50,0,Strada Simion Bărnuțiu
568,5540,18874,219.64,50,0,Bulevardul Republicii
569,3158,3157,163.93,90,0,
570,48770,972,104.80,40,0,Strada Cornești
571,38151,38152,28.18,40,0,Strada Cornești
572,3180,979,637.53,50,0,Strada Zaharia Boiu
573,50892,982,185.92,30,0,
574,3183,465,308.85,50,0,Strada Regimentul V Vânători
575,9186,20633,299.92,50,0,Bulevardul Ferdinand I
576,3127,3183,176.73,50,0,Strada Regimentul V Vânători
577,3190,627,1988.44,50,0,
578,13508,24325,3698.40,80,0,
579,628,3193,221.82,100,0,
580,1745,16758,193.33,50,1,Bulevardul Revoluției
581,834,38365,14.63,50,1,Bulevardul Revoluției
582,38365,8911,50.41,50,1,Bulevardul Revoluției
583,3053,3054,1198.31,90,0,
584,3134,3203,49.14,90,0,Centura Alba Iulia
585,3203,15322,250.26,90,0,Centura Alba Iulia
586,30395,30391,841.62,50,0,Strada Șoseaua Națională
587,3205,3204,102.95,50,0,
588,3206,3207,54.30,90,0,
589,3208,1888,421.72,50,1,Șoseaua Colentina
590,1887,3208,45.19,50,1,Șoseaua Colentina
591,835,18371,261.99,50,0,Strada Mihai Eminescu
592,3212,2015,43.88,100,0,
593,2015,2017,145.23,100,0,
594,34508,3213,28.51,50,1,Strada A. D. Xenopol
595,3175,3174,4446.45,90,0,
596,3176,3175,147.60,90,0,
597,19194,19656,151.15,50,1,Pasaj Colentina
598,2390,2391,125.19,40,0,Șoseaua de Centură
599,15013,3218,131.46,50,1,Strada 1 Decembrie 1918
600,3227,3228,166.18,130,1,Autostrada Soarelui
601,3228,23883,730.60,130,1,Autostrada Soarelui
